Exch,ScripCode,TradeDate,OpenRate,HighRate,LowRate,CloseRate,Qty
N,154,38640,64.8,66.05,63.15,65.7,2957
N,154,38641,66,66,63.5,64.65,2706
N,154,38642,64.5,64.95,61,62.6,5419
N,154,38643,63,63.65,56.1,60.15,5652
N,154,38644,58.55,63.75,58.4,61.2,6098
N,154,38647,58,62,57.8,61.2,3342
N,154,38648,59.55,59.75,57.55,59.2,3869
N,154,38649,57,59.75,57,58.95,2729
N,154,38650,56.1,60,56.1,56.25,3426
N,154,38651,57.75,57.75,54,56.45,2365
N,154,38654,55.6,62.5,55.6,59.3,555
N,154,38655,59.5,61.9,53.15,59.65,475
N,154,38656,56.7,59,56.7,58.95,1651
N,154,38661,62.7,62.7,57.5,59.2,1615
N,154,38662,59,61.2,59,60.45,1764
N,154,38663,59,60.9,57.15,59.35,3274
N,154,38664,58.25,59.9,58,59.6,4312
N,154,38665,58.7,61,58.7,60.6,1388
N,154,38668,61,61,58.85,60,362
N,154,38670,58.65,61.45,58.65,60.85,1482
N,154,38671,60,60.4,57.1,59.45,3335
N,157,40576,471.45,475.9,455,456.2,45200
N,157,42886,1264.9,1269.2,1244.05,1264.05,314510
N,157,42896,1352.5,1357.95,1335.45,1341.35,424218
N,157,38672,469.5,469.5,458,460.25,26913
N,157,42844,1158,1177,1155.35,1167.55,281126
N,157,42857,1235,1251.25,1226.05,1243.5,283313
N,157,42787,1330.9,1343.95,1315,1323.6,321408
N,157,42849,1170,1225,1162.3,1217.4,931424
N,157,42791,1320,1332,1285,1293.05,274556
N,157,42833,1171.8,1178.9,1151.2,1174.85,263634
N,157,42744,1200.1,1206.45,1192,1199.3,102818
N,157,42869,1297.3,1325,1297,1309.75,283881
N,157,42884,1205,1215.45,1183,1211.1,770125
N,157,42847,1167.55,1172.9,1160,1162.65,173546
N,157,42863,1289,1309.05,1275,1304.6,363003
N,157,42861,1265,1272.2,1256.05,1266.8,202470
N,157,42840,1177,1179.9,1166,1175.05,124892
N,157,42935,1246,1272.85,1230.05,1267.75,383795
N,157,42774,1242.5,1265.5,1220,1226,127799
